covtype,	2.258131e-02 3.834235e-03 3.526262e-04 8.517378e-05 6.296763e-06
higgs,	8.946186e-01 3.853908e-02 6.674029e-02 2.374185e-02 2.065933e-02
mnist,	3.750876e-01 1.179426e-01 1.323612e-01 1.334102e-01 1.266756e-01
susy,	1.179545e+00 1.303043e-01 1.692480e-02 1.398587e-02 2.647832e-02
letter,	1.342598e-01 1.613898e-02 2.373507e-03 1.991466e-04 1.696280e-04
pen,	8.175559e-03 8.175559e-03 8.175559e-03 8.175559e-03 8.175559e-03
hepmass,	4.023763e-01 2.324474e-02 2.185678e-02 2.169989e-02 2.239171e-02
gas,	3.927378e-02 2.125506e-02 1.249589e-02 1.909690e-02 9.698619e-03
grid,	1.176839e-03 1.084338e-03 2.584285e-04 9.729264e-07 1.893818e-06
random,	2.279494e-02 7.328274e-04 4.940460e-05 3.927677e-06 1.443788e-06
dino,	2.130853e-05 1.446603e-05 8.160687e-06 6.426627e-06 4.719790e-07
sunflower,	5.443232e-03 7.272710e-04 1.019565e-04 1.072131e-05 3.309455e-07
unit,	9.598529e-03 1.037144e-03 9.922175e-05 1.147368e-06 2.100604e-07
