covtype,	471502151680 2.96824e+10 471046529024 2.2054e+11 471174176768 2.22638e+11
higgs,	938263420928 3.24754e+10 938258579456 3.02799e+11 938253737984 3.0552e+11
mnist,	506223509504 3.26146e+10 506178084864 2.94505e+11 506177576960 3.05809e+11
susy,	913735589888 3.23585e+10 913778884608 2.95942e+11 913650262016 3.02148e+11
letter,	184577499136 3.1644e+10 184609595392 2.4988e+11 184598339584 2.66741e+11
pen,	11555151872 2.19899e+10 11545526272 1.61779e+11 11562303488 1.79396e+11
hepmass,	939348852736 3.22465e+10 939348852736 3.01551e+11 939348852736 3.05963e+11
gas,	120396955648 3.26961e+10 120325955584 2.48667e+11 120241741824 2.79748e+11
grid,	86516244480 2.31161e+10 86516137984 1.97722e+11 86516350976 1.96492e+11
random,	69829582848 2.53993e+10 69829730304 2.16662e+11 69829582848 2.23819e+11
dino,	103246241792 2.20483e+10 103957471232 1.6212e+11 103345881088 1.68483e+11
sunflower,	53383487488 1.87946e+10 53381054464 1.5864e+11 53382504448 1.59042e+11
unit,	33315774464 2.44415e+10 33315774464 2.09204e+11 33315774464 2.12141e+11
